term.id	term.name	term.size	p.value
GO:0003676	nucleic acid binding	1949	4.45e-281
GO:0044822	poly(A) RNA binding	906	3.42e-220
GO:0003723	RNA binding	1093	1.07e-219
GO:0006396	RNA processing	620	9.17e-119
GO:0016071	mRNA metabolic process	479	2.87e-89
GO:0005694	chromosome	604	4.22e-88
GO:0030529	intracellular ribonucleoprotein complex	470	6.77e-88
GO:1990904	ribonucleoprotein complex	470	6.77e-88
GO:0044427	chromosomal part	563	5.62e-80
GO:0022613	ribonucleoprotein complex biogenesis	311	5.9e-77
GO:0003677	DNA binding	963	3.95e-72
GO:0000228	nuclear chromosome	388	1.14e-62
GO:0006397	mRNA processing	306	5.44e-62
GO:0005730	nucleolus	558	7.94e-60
GO:0042254	ribosome biogenesis	202	1.18e-59
GO:0006364	rRNA processing	170	1.57e-59
GO:0008380	RNA splicing	294	4.3e-59
GO:0044451	nucleoplasm part	491	1.02e-58
GO:0016072	rRNA metabolic process	175	6.76e-58
GO:0000375	RNA splicing, via transesterification reactions	242	2.65e-57
GO:0044454	nuclear chromosome part	361	4.78e-57
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	238	5.51e-57
GO:0000398	mRNA splicing, via spliceosome	238	5.51e-57
GO:0051252	regulation of RNA metabolic process	1979	2.01e-56
GO:0034660	ncRNA metabolic process	382	8.65e-56
GO:0034470	ncRNA processing	252	8.88e-51
GO:0000785	chromatin	310	3.46e-48
GO:2001141	regulation of RNA biosynthetic process	1879	1.23e-47
GO:1903506	regulation of nucleic acid-templated transcription	1856	1.71e-47
GO:0006325	chromatin organization	457	1.74e-47
GO:0006355	regulation of transcription, DNA-templated	1849	5.25e-47
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	83	4.4e-44
GO:0051276	chromosome organization	434	5.77e-44
GO:0006259	DNA metabolic process	700	1.01e-42
GO:0006613	cotranslational protein targeting to membrane	88	1.3e-42
GO:1902494	catalytic complex	943	2.71e-42
GO:0051172	negative regulation of nitrogen compound metabolic process	988	3.8e-42
GO:0019080	viral gene expression	174	2.11e-41
GO:0045047	protein targeting to ER	86	2.86e-41
GO:0045934	negative regulation of nucleobase-containing compound metabolic process	882	7.79e-41
GO:0010629	negative regulation of gene expression	992	9.2e-41
GO:0022626	cytosolic ribosome	86	9.32e-40
GO:0072599	establishment of protein localization to endoplasmic reticulum	90	1.74e-39
GO:0005681	spliceosomal complex	124	1.79e-39
GO:0044033	multi-organism metabolic process	189	2.33e-39
GO:0006413	translational initiation	158	2.86e-38
GO:0019083	viral transcription	163	3.68e-38
GO:0006366	transcription from RNA polymerase II promoter	1376	3.76e-38
GO:0051253	negative regulation of RNA metabolic process	783	7.46e-38
GO:0010605	negative regulation of macromolecule metabolic process	1499	8.01e-38
GO:2000113	negative regulation of cellular macromolecule biosynthetic process	881	7.37e-37
GO:0043933	macromolecular complex subunit organization	1591	1.82e-36
GO:0006412	translation	413	2.42e-36
GO:0000790	nuclear chromatin	219	3.37e-36
GO:0043043	peptide biosynthetic process	429	4.26e-35
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	111	4.93e-35
GO:0009892	negative regulation of metabolic process	1618	1.67e-34
GO:0010558	negative regulation of macromolecule biosynthetic process	920	1.98e-34
GO:0007049	cell cycle	1159	4.43e-34
GO:0070161	anchoring junction	588	6.83e-34
GO:0005912	adherens junction	579	1.04e-33
GO:0019058	viral life cycle	353	1.59e-33
GO:0098687	chromosomal region	223	1.9e-33
GO:0031324	negative regulation of cellular metabolic process	1492	2.04e-33
GO:0045892	negative regulation of transcription, DNA-templated	728	2.19e-33
GO:1903507	negative regulation of nucleic acid-templated transcription	732	2.48e-33
GO:0070972	protein localization to endoplasmic reticulum	104	4.37e-33
GO:0000975	regulatory region DNA binding	517	7.25e-33
GO:0001067	regulatory region nucleic acid binding	517	7.25e-33
GO:0044212	transcription regulatory region DNA binding	517	7.25e-33
GO:0009890	negative regulation of biosynthetic process	975	4.33e-32
GO:1902679	negative regulation of RNA biosynthetic process	747	6.8e-32
GO:0031327	negative regulation of cellular biosynthetic process	960	1.14e-31
GO:0018205	peptidyl-lysine modification	296	1.49e-31
GO:0003690	double-stranded DNA binding	440	1.97e-31
GO:0044391	ribosomal subunit	97	3.83e-31
GO:0016604	nuclear body	183	4.54e-31
GO:0005840	ribosome	120	1.11e-30
GO:0043604	amide biosynthetic process	478	4.54e-30
GO:0071013	catalytic step 2 spliceosome	81	1.1e-29
GO:0043565	sequence-specific DNA binding	528	1.18e-29
GO:0022402	cell cycle process	1014	1.19e-29
GO:0001071	nucleic acid binding transcription factor activity	658	3.42e-28
GO:0003700	transcription factor activity, sequence-specific DNA binding	658	3.42e-28
GO:0098641	cadherin binding involved in cell-cell adhesion	253	5.82e-28
GO:0022618	ribonucleoprotein complex assembly	146	3.44e-27
GO:0071826	ribonucleoprotein complex subunit organization	152	6.8e-27
GO:0098632	protein binding involved in cell-cell adhesion	258	7.73e-27
GO:0006357	regulation of transcription from RNA polymerase II promoter	1174	8.34e-27
GO:0003682	chromatin binding	235	9.91e-27
GO:0006281	DNA repair	378	1.62e-26
GO:0071824	protein-DNA complex subunit organization	157	3.95e-26
GO:0098631	protein binding involved in cell adhesion	263	9.26e-26
GO:1990837	sequence-specific double-stranded DNA binding	384	1.62e-25
GO:0003735	structural constituent of ribosome	107	2.45e-25
GO:1903047	mitotic cell cycle process	670	5.07e-25
GO:0022625	cytosolic large ribosomal subunit	45	5.52e-25
GO:0045296	cadherin binding	267	6.3e-25
GO:0000278	mitotic cell cycle	723	7.25e-25
GO:0006974	cellular response to DNA damage stimulus	605	1.51e-24
GO:0044445	cytosolic part	174	2.65e-24
GO:0000976	transcription regulatory region sequence-specific DNA binding	361	6.41e-24
GO:0006518	peptide metabolic process	537	1.14e-23
GO:0000956	nuclear-transcribed mRNA catabolic process	181	3.49e-23
GO:0005913	cell-cell adherens junction	283	5.34e-23
GO:0044085	cellular component biogenesis	1902	9.02e-23
GO:0051173	positive regulation of nitrogen compound metabolic process	1243	1.77e-22
GO:0030054	cell junction	776	1.81e-22
GO:0006401	RNA catabolic process	213	2.11e-22
GO:0006402	mRNA catabolic process	191	4.13e-22
GO:0000781	chromosome, telomeric region	113	4.21e-22
GO:0016569	covalent chromatin modification	301	4.99e-22
GO:0001012	RNA polymerase II regulatory region DNA binding	300	1.21e-21
GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding	300	1.21e-21
GO:0071103	DNA conformation change	151	1.31e-21
GO:0045935	positive regulation of nucleobase-containing compound metabolic process	1177	1.39e-21
GO:0065004	protein-DNA complex assembly	130	1.59e-21
GO:0034622	cellular macromolecular complex assembly	647	3.1e-20
GO:0043603	cellular amide metabolic process	635	6.31e-20
GO:0006612	protein targeting to membrane	155	8.56e-20
GO:0016570	histone modification	292	1.04e-19
GO:0033365	protein localization to organelle	675	1.12e-19
GO:0016032	viral process	615	1.12e-19
